respondent_id,data_type,respondent_category,business_type_raw,business_type,city,region,experience_years,tenure_days_estimate,monthly_income_range_raw,monthly_income_midpoint,monthly_transaction_volume_raw,monthly_transaction_estimate,payment_methods_standardized,uses_upi_flag,uses_cash_flag,uses_card_flag,uses_wallet_flag,upi_usage_frequency_raw,upi_usage_frequency_score,upi_usage_frequency_scaled,needed_business_credit_binary,approx_credit_amount_raw,approx_credit_amount_numeric,credit_purpose,ai_tool_usage_binary,automation_usage,platform_used_raw,key_pain_points,survey_response_date,digital_adoption_score_likert,digital_adoption_score_scaled,cashflow_issues_likert,cashflow_issues_scaled,settlement_delay_impact_likert,settlement_delay_impact_scaled,faster_payout_impact_likert,faster_payout_impact_scaled,business_growth_after_digital_likert,business_growth_after_digital_scaled,repeat_customer_change_likert,repeat_customer_change_scaled,has_interview_quote
R0001,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,3,1095,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 15,000",15000.0,advanced tools & emergencies,0.0,booking reminders,"Urban Company, Google Pay","delayed settlements, cancellation losses",2026-05-02,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0002,survey,Service Professional,Cleaning,home_cleaning,Thane,West,4,1460,"Rs 25,000-Rs 40,000",32500.0,30-90 bookings/month,60.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 5,000",5000.0,kit purchase,0.0,reminders only,"Urban Company, Google Pay",cancellation losses,2026-05-15,3.0,0.5,3.0,0.5,4.0,0.75,4.0,0.75,5.0,1.0,4.0,0.75,1
R0003,survey,Service Professional,Electrician,plumbing_electrical,Thane,West,5,1825,"Rs 10,000-Rs 15,000",12500.0,120 & Above bookings/month,135.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 20,000",20000.0,tool upgrades,1.0,ai scheduling,"Urban Company, PhonePe","payment delays, tool financing issues",2026-05-10,3.0,0.5,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,3.0,0.5,1
R0004,survey,Service Professional,Insta Help,home_cleaning,Thane,West,6,2190,"Rs 10,000-Rs 15,000",12500.0,30-90 bookings/month,60.0,upi;cash,1,1,0,0,Daily,5.0,1.0,0.0,,,,0.0,reminders only,Phone Pay,low demand consistency,2026-05-11,2.0,0.25,3.0,0.5,4.0,0.75,4.0,0.75,3.0,0.5,3.0,0.5,1
R0005,survey,Service Professional,Insta Help,home_cleaning,Thane,West,7,2555,"Rs 10,000-Rs 15,000",12500.0,30-90 bookings/month,60.0,upi;cash,1,1,0,0,Daily,5.0,1.0,0.0,,,,0.0,reminders only,Phone Pay,high cancellations,2026-05-11,2.0,0.25,3.0,0.5,4.0,0.75,4.0,0.75,3.0,0.5,3.0,0.5,1
R0006,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,3,1095,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 15,000",15000.0,advanced tools & emergencies,0.0,reminders only,"Urban Company, Google Pay",delayed settlements,2026-05-12,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0007,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,4,1460,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 25,000",25000.0,salon supplies,1.0,ai appointment optimization,"Urban Company, Paytm",short-term credit gaps,2026-05-12,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,5.0,1.0,4.0,0.75,1
R0008,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,5,1825,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 15,000",15000.0,kit purchase,1.0,ai loyalty management,"Urban Company, Google Pay",payout delays,2026-05-13,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1
R0009,survey,Service Professional,Electrician,plumbing_electrical,Indore,West,6,2190,"Rs 10,000-Rs 15,000",12500.0,120 & Above bookings/month,135.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 30,000",30000.0,advanced tools & emergencies,1.0,ai inventory tracking,"Urban Company, Google Pay","tool financing, payout delays",2026-05-13,3.0,0.5,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0010,survey,Service Professional,Electrician,plumbing_electrical,Surat,West,7,2555,"Rs 10,000-Rs 15,000",12500.0,30-90 bookings/month,60.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 10,000",10000.0,wire stock & repairs,0.0,reminders only,"Urban Company, PhonePe",payment delays,2026-05-13,3.0,0.5,3.0,0.5,4.0,0.75,4.0,0.75,3.0,0.5,3.0,0.5,1
