construct,primary_variable,synthetic_dataset,synthetic_variable,primary_mean,synthetic_mean,mean_gap,agreement_score,agreement_band,mapping_quality,commentary
Digital adoption,digital_adoption_score_scaled,merchants.csv,digital_tool_usage,0.6416666666666667,0.6744443999999999,0.032777733333333225,0.9672222666666668,High,Direct scaled proxy,Survey digital adoption is directly comparable to synthetic digital tool usage.
Digital adoption,digital_adoption_score_scaled,provider_kpis.csv,technology_adoption_score,0.6416666666666667,0.7119163083333333,0.07024964166666658,0.9297503583333334,High,Composite proxy,"Synthetic technology score includes digital tools and payment reliability, so exact agreement is not expected."
Settlement pain,settlement_delay_impact_scaled,payouts_loans.csv,payout_delay_days_scaled,0.9333333333333333,0.570034486843664,0.36329884648966937,0.6367011535103306,Moderate,Impact-to-delay proxy,Survey measures perceived pain; synthetic variable measures payout delay days.
Settlement pain,cashflow_issues_scaled,payouts_loans.csv,working_capital_gap_scaled,0.6916666666666667,0.2450782421719004,0.4465884244947662,0.5534115755052338,Weak,Liquidity-pressure proxy,Cashflow pain is compared with synthetic working-capital pressure.
Credit need,needed_business_credit_binary,payouts_loans.csv,loan_offer_flag,0.8666666666666667,0.3070833333333333,0.5595833333333333,0.4404166666666667,Weak,Demand-to-offer proxy,Primary credit need is not the same as synthetic loan offer; compare directionally.
Credit need,approx_credit_amount_numeric_scaled,payouts_loans.csv,loan_amount_scaled,0.48479427549195,0.37721386306322563,0.10758041242872435,0.8924195875712757,High,Amount distribution proxy,Compares requested/needed credit size with positive synthetic loan amounts.
Business growth,business_growth_after_digital_scaled,provider_kpis.csv,advancement_score,0.7583333333333333,0.4926454833333333,0.26568785,0.73431215,Moderate,Direct mechanism proxy,Primary perceived growth is aligned with synthetic advancement score.
Business growth,business_growth_after_digital_scaled,provider_kpis.csv,income_growth_pct_scaled,0.7583333333333333,0.6812706813021264,0.07706265203120688,0.9229373479687931,High,Perception-to-outcome proxy,Perceived growth is compared with synthetic income growth after percentile scaling.
Retention,repeat_customer_change_scaled,provider_kpis.csv,lock_in_score,0.7166666666666667,0.5877506083333334,0.1289160583333333,0.8710839416666667,High,Indirect retention proxy,The uploaded survey does not contain explicit retention intent; repeat-customer change is used as a lock-in proxy.
Retention,repeat_customer_change_scaled,provider_kpis.csv,retention_flag,0.7166666666666667,0.8885,0.17183333333333328,0.8281666666666667,High,Weak indirect proxy,Repeat-customer improvement is only a weak proxy for actual provider retention.
AI usage,ai_tool_usage_binary,merchants.csv,agent_usage_flag,0.6,0.439,0.16099999999999998,0.839,High,Direct binary proxy,Primary AI usage maps directly to synthetic agent usage flag.
AI usage,ai_tool_usage_binary,provider_kpis.csv,forecast_usage,0.6,0.267,0.33299999999999996,0.667,Moderate,Partial binary proxy,Forecast usage is narrower than general AI-tool use.
AI usage,ai_tool_usage_binary,provider_kpis.csv,agentic_intelligence_score,0.6,0.46870664166666665,0.13129335833333333,0.8687066416666667,High,Composite proxy,Primary AI use is compared with the broader agentic-intelligence score.
